,joint_effort[0],joint_effort[1],joint_effort[2],joint_effort[3],joint_effort[4],joint_effort[5],cluster
32,-0.053939463817514,0.273884828030653,-1.39833997021559,-0.45696520984762,-0.389856046287013,-0.039571056708543,0
33,-0.040747240568623,0.253654021693502,-1.40235855008392,-0.46348674735278,-0.393131520149121,-0.034633187647171,0
34,-0.030583983219478,0.264022293424463,-1.40146243457269,-0.461134394728517,-0.39472336474194,-0.035121715739424,0
35,-0.052343436577893,0.335958843654226,-1.41707433360453,-0.441939525498106,-0.391062879792903,-0.043721522526351,0
36,-0.015222455526344,0.36076956893747,-1.41944608246317,-0.433112262547215,-0.400957373612139,-0.042191973771815,0
37,-0.017723496530767,0.31481768480902,-1.41772569447954,-0.445667165144209,-0.398598544387094,-0.039647519575006,0
38,-0.004710558334068,0.25726959450792,-1.40969773786554,-0.461903313248719,-0.401859853326817,-0.030198554977625,0
39,-0.004872864587855,0.247473791756689,-1.43003823849802,-0.462846765418306,-0.400236715703068,-0.02877614551312,0
40,-0.008442945496633,0.30936945249472,-1.41209070095981,-0.447166786600589,-0.397268120715622,-0.032370142946272,0
41,-0.00681781218774,0.34346331547952,-1.41618749804549,-0.438425915126753,-0.398727362614461,-0.037890716242739,0
42,-0.02788754952068,0.318979254515189,-1.42590828196299,-0.442377087298941,-0.393322150240903,-0.037577178835559,0
43,-0.017155463728287,0.269436426367596,-1.40600570871806,-0.456080480628661,-0.394013043870304,-0.032729072657333,0
44,-0.016686081703023,0.27323784145218,-1.41145876142202,-0.454569764008343,-0.39229125809916,-0.036430706492385,0
45,-0.040035631789884,0.295952376199276,-1.40735932918808,-0.44840850963772,-0.387044978006685,-0.035769605867829,0
46,-0.019408471384955,0.328299365817624,-1.38986091301126,-0.439263389290399,-0.390143987222397,-0.038151244081414,0
47,-0.003148078367258,0.322519804496116,-1.39041930782664,-0.439922252087361,-0.394421098470517,-0.03930282979822,0
48,-0.010797252312608,0.285915914035833,-1.39384931947249,-0.448835351626737,-0.3932565702174,-0.035904241188024,0
49,0.001243557497153,0.269091627037196,-1.39693508981502,-0.452440348332927,-0.396972653054998,-0.033245699801143,0
50,0.013370730159483,0.287154395074502,-1.41572544573236,-0.447278068543128,-0.399723312259936,-0.037298304864882,0
51,0.002446195581126,0.310374406623838,-1.42400058117234,-0.440774244419283,-0.396941630822331,-0.038866364316892,0
52,-0.026034321287667,0.325951972654061,-1.40527019707485,-0.437454144736105,-0.388367455494287,-0.039717060763891,0
53,-0.016616428381175,0.308138707222318,-1.40192035386306,-0.441434874783431,-0.392301167955363,-0.039502116950427,0
