,base,rotation,translation,base1,rotation1,translation1
76,0.8332031,-0.10864608,-0.012721412,1.0,0.0,0.0
77,0.8137509,-0.09273085,0.016531035,1.0,0.0,0.0
78,0.87045753,0.063383535,-0.04072728,1.0,0.0,0.0
79,0.920467,0.0083431415,-0.039190352,1.0,0.0,0.0
80,0.81056494,-0.21388446,-0.062416263,1.0,0.0,0.0
81,0.91854733,-0.1332037,-0.010821201,1.0,0.0,0.0
82,0.9143336,-0.13735756,-0.0116377175,1.0,0.0,0.0
83,0.9361941,-0.10590321,-0.009733494,1.0,0.0,0.0
84,0.8384332,-0.10658051,-0.032649994,1.0,0.0,0.0
85,0.91512406,-0.0014412142,-0.03189472,1.0,0.0,0.0
86,0.96933305,-0.12093891,-0.017931268,1.0,0.0,0.0
87,0.9373938,0.00065308437,-0.027811132,1.0,0.0,0.0
88,0.25745538,0.6252513,0.0034746788,0.0,1.0,0.0
89,0.08940187,0.6649447,-0.038543213,0.0,1.0,0.0
90,-0.07810238,-0.08808464,0.9169373,0.0,0.0,1.0
91,0.91941047,0.00836451,-0.027583838,1.0,0.0,0.0
92,0.8357654,-0.040068094,0.00489863,1.0,0.0,0.0
93,0.77579814,-0.21389727,-0.014266081,1.0,0.0,0.0
94,0.8296922,-0.08897577,-0.01665049,1.0,0.0,0.0
95,0.7289437,-0.21055792,-0.0025657415,1.0,0.0,0.0
96,0.93119293,-0.0011736341,-0.024750516,1.0,0.0,0.0
97,0.9327514,0.0053780936,-0.027196549,1.0,0.0,0.0
98,0.9463854,-0.009961519,-0.027405806,1.0,0.0,0.0
99,0.92022157,0.0003390275,-0.047373757,1.0,0.0,0.0
100,0.9474225,-0.11841045,-0.0111660175,1.0,0.0,0.0
101,0.9335233,-0.13800393,-0.012590639,1.0,0.0,0.0
102,0.93258345,-0.12409946,-0.008915879,1.0,0.0,0.0
103,0.9358449,0.0010583065,-0.028772354,1.0,0.0,0.0
104,0.8338457,-0.08759518,-0.0154097155,1.0,0.0,0.0
105,0.8301389,-0.10012595,-0.01568167,1.0,0.0,0.0
106,0.7896217,-0.20304151,-0.050757162,1.0,0.0,0.0
107,0.8201728,-0.2119885,-0.046124928,1.0,0.0,0.0
108,0.8331697,-0.09471156,-0.0148433,1.0,0.0,0.0
109,0.92350245,-0.12828127,-0.01227849,1.0,0.0,0.0
110,0.91927147,0.012863036,-0.03319738,1.0,0.0,0.0
111,0.31156844,-0.21592124,0.58635396,0.0,0.0,1.0
112,0.9182814,-0.0066104718,-0.040520273,1.0,0.0,0.0
