,base,rotation,translation,base1,rotation1,translation1
38,0.7349672,-0.16437867,0.17905131,1.0,0.0,0.0
39,0.9052387,-0.21338691,0.018427439,1.0,0.0,0.0
40,0.68544334,-0.14939591,0.197717,1.0,0.0,0.0
41,0.7075444,-0.15432979,0.18402544,1.0,0.0,0.0
42,0.7709616,-0.06510872,0.038615335,1.0,0.0,0.0
43,0.7939646,-0.0951,0.0402337,1.0,0.0,0.0
44,0.7559449,-0.100887954,0.058983147,1.0,0.0,0.0
45,0.87294537,-0.18069911,0.039250873,1.0,0.0,0.0
46,0.890167,-0.16409488,-0.004217053,1.0,0.0,0.0
47,-0.044905007,-0.17075826,1.0045913,0.0,0.0,1.0
48,0.89682215,-0.19817342,0.015258627,1.0,0.0,0.0
49,0.8701907,-0.14581384,-0.005975375,1.0,0.0,0.0
50,0.8296148,-0.14917517,0.027600521,1.0,0.0,0.0
51,0.67082554,-0.097816244,0.16516744,1.0,0.0,0.0
52,0.67256635,-0.0057031997,0.06859138,0.0,1.0,0.0
53,-0.06651287,0.71766675,0.030420007,0.0,1.0,0.0
54,0.66578025,-0.15645805,0.24720703,1.0,0.0,0.0
55,0.8724038,-0.16857988,0.024856536,1.0,0.0,0.0
56,0.8791787,-0.18696149,0.022831397,1.0,0.0,0.0
57,0.8959249,-0.20839871,0.02993864,1.0,0.0,0.0
58,0.77965474,-0.1437936,0.07958589,1.0,0.0,0.0
59,0.7663726,-0.049368966,0.040023766,1.0,0.0,0.0
60,0.7734911,-0.057480637,0.018543605,1.0,0.0,0.0
61,0.8502366,-0.118386164,-0.0040962044,1.0,0.0,0.0
62,0.7532188,-0.082181156,0.022825109,1.0,0.0,0.0
63,0.25928676,0.3825986,0.036093093,1.0,0.0,0.0
64,0.88805974,-0.19524005,0.045657516,1.0,0.0,0.0
65,0.79915446,-0.10510974,0.0330161,1.0,0.0,0.0
66,0.7732336,-0.056640137,0.04175937,1.0,0.0,0.0
67,0.6831612,-0.15555385,0.19850077,1.0,0.0,0.0
68,0.9035849,-0.1921127,0.015583068,1.0,0.0,0.0
69,0.6012776,-0.09482467,0.23680528,1.0,0.0,0.0
70,-0.10907449,0.7847157,0.024587063,0.0,1.0,0.0
71,0.55849224,0.12289946,0.027127074,1.0,0.0,0.0
72,0.8718218,-0.17245851,0.0050682854,1.0,0.0,0.0
